ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-169N|refseq:NP_003137|uniprotkb:Q08945	DIP-953N|refseq:NP_003111|uniprotkb:P17947	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:7594592|pubmed:DIP-403S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-77E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1074N|uniprotkb:Q9DH70	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:8344494|pubmed:DIP-257S	taxid:10633(Simian virus 40)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-438E	dip-quality-status:core	dip:0002(small scale)		-
DIP-257N|refseq:NP_001420|uniprotkb:Q09472	DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	-	-	-	MI:0013(biophysical)	-	pubmed:9199306|pubmed:DIP-124S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10E	dip-quality-status:core	dip:0002(small scale)		-
DIP-331N|uniprotkb:P36956	DIP-952N|refseq:NP_004371|uniprotkb:Q92793	 -	-	-	-	MI:0096(pull down)|MI:0045(experimental interaction detection)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:16799563|pubmed:DIP-7344S|pubmed:8918891|pubmed:DIP-312S|pubmed:16799563|pubmed:DIP-7344S|pubmed:16799563|pubmed:DIP-7344S|pubmed:16799563|pubmed:DIP-7344S|pubmed:16799563|pubmed:DIP-7344S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-11E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-327N|uniprotkb:Q04650	DIP-74N|uniprotkb:P15923	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9199284|pubmed:DIP-211S	taxid:10036(Mesocricetus auratus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-12E	dip-quality-status:core	dip:0002(small scale)		-
DIP-74N|uniprotkb:P15923	DIP-704N|refseq:NP_002469|uniprotkb:P15172	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9184158|pubmed:DIP-273S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-14E	dip-quality-status:core	dip:0002(small scale)		-
DIP-163N|refseq:NP_003190|uniprotkb:P15884	DIP-713N|refseq:NP_002158|uniprotkb:Q02535	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8999959|pubmed:DIP-41S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-17E	dip-quality-status:core	dip:0002(small scale)		-
DIP-681N|refseq:NP_014069|uniprotkb:P32561	DIP-150N|refseq:NP_003394|uniprotkb:P25490	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8917507|pubmed:DIP-447S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-20E	dip-quality-status:core	dip:0002(small scale)		-
DIP-182N|uniprotkb:Q13315	DIP-1042N|uniprotkb:P00519	 -	-	-	-	MI:0018(two hybrid)|MI:0006(anti bait coimmunoprecipitation)|MI:0096(pull down)	-	pubmed:9168117|pubmed:DIP-17837S|pubmed:9168117|pubmed:DIP-17837S|pubmed:9168117|pubmed:DIP-17837S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)	MI:0465(dip)	DIP-25E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-785N|refseq:NP_011062|uniprotkb:P39958	DIP-372N|uniprotkb:P20338	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9184135|pubmed:DIP-381S	taxid:4932(Saccharomyces cerevisiae)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-29E	dip-quality-status:core	dip:0002(small scale)		-
DIP-383N|refseq:NP_001094|uniprotkb:P35609	DIP-674N|refseq:NP_058706|uniprotkb:P35439	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9009191|pubmed:DIP-290S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-30E	dip-quality-status:core	dip:0002(small scale)		-
DIP-383N|refseq:NP_001094|uniprotkb:P35609	DIP-538N|refseq:NP_001734|uniprotkb:P02593	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9009191|pubmed:DIP-290S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-31E	dip-quality-status:core	dip:0002(small scale)		-
DIP-155N|uniprotkb:P31314	DIP-459N|refseq:NP_006234|uniprotkb:Q15172	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9009195|pubmed:DIP-409S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-32E	dip-quality-status:core	dip:0002(small scale)		-
DIP-908N|uniprotkb:Q94818	DIP-459N|refseq:NP_006234|uniprotkb:Q15172	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9201974|pubmed:DIP-258S	taxid:5911(Tetrahymena thermophila)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-35E	dip-quality-status:core	dip:0002(small scale)		-
DIP-704N|refseq:NP_002469|uniprotkb:P15172	DIP-704N|refseq:NP_002469|uniprotkb:P15172	-	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9184158|pubmed:DIP-273S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-43E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1030N|refseq:NP_000582|uniprotkb:P08571	DIP-90N|uniprotkb:P18428	 -	-	-	-	MI:0401(biochemical)	-	pubmed:2402637|pubmed:DIP-439S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-54E	dip-quality-status:core	dip:0002(small scale)		-
DIP-58N|uniprotkb:P10809	DIP-1081N|uniprotkb:P04273	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0018(two hybrid)	-	pubmed:8676499|pubmed:DIP-98S|pubmed:8676499|pubmed:DIP-98S	taxid:9606(Homo sapiens)	taxid:10036(Mesocricetus auratus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-57E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	DIP-1043N|refseq:NP_000624|uniprotkb:P10415	-	-	-	-	MI:0013(biophysical)	-	pubmed:9144199|pubmed:DIP-367S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-64E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1043N|refseq:NP_000624|uniprotkb:P10415	DIP-232N|uniprotkb:Q07812	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:18981409|pubmed:DIP-11730S|pubmed:18981409|pubmed:DIP-11730S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-65E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-31N|refseq:NP_002976|uniprotkb:P13501	DIP-400N	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8976200|pubmed:DIP-140S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-71E	dip-quality-status:core	dip:0002(small scale)		-
DIP-285N|refseq:NP_003780|uniprotkb:Q15628	DIP-407N|uniprotkb:P19438	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:9129204|pubmed:DIP-72S|pubmed:23955153|pubmed:DIP-16316S|pubmed:19641494|pubmed:DIP-16211S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-78E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-468N|uniprotkb:P39429	DIP-407N|uniprotkb:P19438	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9129204|pubmed:DIP-72S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-79E	dip-quality-status:core	dip:0002(small scale)		-
DIP-406N|refseq:NP_002498|uniprotkb:P08138	DIP-451N|uniprotkb:Q91407	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9204927|pubmed:DIP-123S	taxid:9606(Homo sapiens)	taxid:7955(Danio rerio)	MI:0218(physical interaction)	MI:0465(dip)	DIP-82E	dip-quality-status:core	dip:0002(small scale)		-
DIP-346N|refseq:NP_002518|uniprotkb:P20783	DIP-451N|uniprotkb:Q91407	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7972023|pubmed:DIP-57S	taxid:9606(Homo sapiens)	taxid:7955(Danio rerio)	MI:0218(physical interaction)	MI:0465(dip)	DIP-83E	dip-quality-status:core	dip:0002(small scale)		-
DIP-450N|uniprotkb:P52583	DIP-29229N|uniprotkb:P62993	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:1322798|pubmed:DIP-268S	taxid:93934(Coturnix coturnix japonica)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-86E	dip-quality-status:core	dip:0002(small scale)		-
DIP-175N|uniprotkb:P29466	DIP-474N|refseq:NP_000567|uniprotkb:P01584	 -	-	-	-	MI:0401(biochemical)|MI:0435(protease assay)	-	pubmed:8999548|pubmed:DIP-452S|pubmed:19439663|pubmed:DIP-16579S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0570(protein cleavage)	MI:0465(dip)	DIP-88E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)		-
DIP-483N|uniprotkb:P01579	DIP-950N|refseq:NP_032386|uniprotkb:P70380	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-89E	dip-quality-status:core	dip:0002(small scale)		-
DIP-950N|refseq:NP_032386|uniprotkb:P70380	DIP-175N|uniprotkb:P29466	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-90E	dip-quality-status:core	dip:0002(small scale)		-
DIP-950N|refseq:NP_032386|uniprotkb:P70380	DIP-268N|refseq:NP_004337|uniprotkb:P42574	 -	-	-	-	MI:0401(biochemical)	-	pubmed:8999548|pubmed:DIP-452S	taxid:10090(Mus musculus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-91E	dip-quality-status:core	dip:0002(small scale)		-
DIP-403N|refseq:NP_000796|uniprotkb:P01350	DIP-229N|refseq:NP_795344|uniprotkb:P32239	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:8824290|pubmed:DIP-237S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-95E	dip-quality-status:core	dip:0002(small scale)		-
DIP-403N|refseq:NP_000796|uniprotkb:P01350	DIP-664N|refseq:NP_037101|uniprotkb:P35570	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8824290|pubmed:DIP-237S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-96E	dip-quality-status:core	dip:0002(small scale)		-
DIP-295N|uniprotkb:Q15349	DIP-253N|refseq:NP_003168|uniprotkb:P43405	 -	-	-	-	MI:0401(biochemical)	-	pubmed:9218456|pubmed:DIP-259S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-97E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1037N|uniprotkb:P07996	DIP-879N	 -	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:9169439|pubmed:DIP-53S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-98E	dip-quality-status:core	dip:0002(small scale)		-
DIP-235N|uniprotkb:P38531	DIP-1057N|uniprotkb:P10242	 -	-	-	-	MI:0013(biophysical)|MI:0018(two hybrid)|MI:0401(biochemical)	-	pubmed:9211854|pubmed:DIP-49S|pubmed:9211854|pubmed:DIP-49S|pubmed:9211854|pubmed:DIP-49S	taxid:9031(Gallus gallus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-102E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-22N|refseq:NP_001959|uniprotkb:P06730	DIP-267N|refseq:NP_446309|uniprotkb:Q62622	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0401(biochemical)|MI:0045(experimental interaction detection)	-	pubmed:7939721|pubmed:DIP-407S|pubmed:7939721|pubmed:DIP-407S|pubmed:7939721|pubmed:DIP-407S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-114E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-331N|uniprotkb:P36956	DIP-987N|uniprotkb:Q60431	 -	-	-	-	MI:0013(biophysical)|MI:0045(experimental interaction detection)	-	pubmed:8643593|pubmed:DIP-204S|pubmed:8643593|pubmed:DIP-204S	taxid:9606(Homo sapiens)	taxid:10030(Cricetulus longicaudatus (Long-tailed hamster) (Chinese hamster))	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-116E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-263N|uniprotkb:Q12772	DIP-987N|uniprotkb:Q60431	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0013(biophysical)	-	pubmed:8643593|pubmed:DIP-204S|pubmed:8643593|pubmed:DIP-204S	taxid:9606(Homo sapiens)	taxid:10030(Cricetulus longicaudatus (Long-tailed hamster) (Chinese hamster))	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-117E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-268N|refseq:NP_004337|uniprotkb:P42574	DIP-38N|refseq:NP_001609|uniprotkb:P09874	 -	-	-	-	MI:0435(protease assay)	-	pubmed:7596430|pubmed:DIP-17822S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0570(protein cleavage)	MI:0465(dip)	DIP-119E	dip-quality-status:core	dip:0004(small scale)		-
DIP-392N|uniprotkb:Q00987	DIP-368N|uniprotkb:P04637	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0096(pull down)|MI:0053(fluorescence polarization spectroscopy)|MI:0045(experimental interaction detection)|MI:0401(biochemical)|MI:0007(anti tag coimmunoprecipitation)|MI:0065(isothermal titration calorimetry)|MI:0006(anti bait coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0071(molecular sieving)|MI:0017(classical fluorescence spectroscopy)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0254(genetic interference)|MI:0065(isothermal titration calorimetry)|MI:0006(anti bait coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0045(experimental interaction detection)|MI:0077(nuclear magnetic resonance)|MI:0007(anti tag coimmunoprecipitation)|MI:0077(nuclear magnetic resonance)|MI:0017(classical fluorescence spectroscopy)|MI:0081(peptide array)|MI:0017(classical fluorescence spectroscopy)|MI:0028(cosedimentation in solution)|MI:0006(anti bait coimmunoprecipitation)|MI:0077(nuclear magnetic resonance)|MI:0019(coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0114(x-ray crystallography)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19255450|pubmed:DIP-14373S|pubmed:18172499|pubmed:DIP-16450S|pubmed:17080083|pubmed:DIP-16147S|pubmed:10321734|pubmed:DIP-3816S|pubmed:7926727|pubmed:DIP-265S|pubmed:17470788|pubmed:DIP-16793S|pubmed:16432196|pubmed:DIP-16994S|pubmed:21857681|pubmed:DIP-16221S|pubmed:8875929|pubmed:DIP-325S|pubmed:11070080|pubmed:DIP-3823S|pubmed:16432196|pubmed:DIP-16994S|pubmed:10608892|pubmed:DIP-3811S|pubmed:12529318|pubmed:DIP-3819S|pubmed:21857681|pubmed:DIP-16221S|pubmed:8875929|pubmed:DIP-325S|pubmed:24207125|pubmed:DIP-16399S|pubmed:18316739|pubmed:DIP-4751S|pubmed:9529249|pubmed:DIP-3820S|pubmed:11278372|pubmed:DIP-3818S|pubmed:10321734|pubmed:DIP-3816S|pubmed:16432196|pubmed:DIP-16994S|pubmed:19234109|pubmed:DIP-14455S|pubmed:24207125|pubmed:DIP-16399S|pubmed:16432196|pubmed:DIP-16994S|pubmed:16432196|pubmed:DIP-16994S|pubmed:17438265|pubmed:DIP-16778S|pubmed:16432196|pubmed:DIP-16994S|pubmed:17080083|pubmed:DIP-16147S|pubmed:17438265|pubmed:DIP-16778S|pubmed:10321734|pubmed:DIP-3816S|pubmed:11223036|pubmed:DIP-3815S|pubmed:18172499|pubmed:DIP-16450S|pubmed:8875929|pubmed:DIP-325S|pubmed:20173098|pubmed:DIP-16193S|pubmed:17080083|pubmed:DIP-16147S|pubmed:18172499|pubmed:DIP-16450S|pubmed:18172499|pubmed:DIP-16450S|pubmed:24667498|pubmed:DIP-16497S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0254(genetic interference)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-120E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-226N|uniprotkb:P14859	DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pubmed:8530384|pubmed:DIP-328S|pubmed:8530384|pubmed:DIP-328S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-121E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-51N|uniprotkb:P09086	DIP-977N|refseq:NP_035266|uniprotkb:Q64693	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0019(coimmunoprecipitation)	-	pubmed:8530384|pubmed:DIP-328S|pubmed:8530384|pubmed:DIP-328S	taxid:9606(Homo sapiens)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-122E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-790N|refseq:NP_004949|uniprotkb:P42345	DIP-87N|refseq:NP_000792|uniprotkb:P20071	 -	-	-	-	MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0071(molecular sieving)|MI:0013(biophysical)	-	pubmed:7539137|pubmed:DIP-203S|pubmed:7539137|pubmed:DIP-203S|pubmed:7539137|pubmed:DIP-203S|pubmed:7539137|pubmed:DIP-203S	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-131E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-114N|refseq:NP_001936|uniprotkb:Q99075	DIP-370N|uniprotkb:P00587	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:9659904|pubmed:DIP-133S	taxid:9606(Homo sapiens)	taxid:10703(Corynephage beta)	MI:0407(direct interaction)	MI:0465(dip)	DIP-132E	dip-quality-status:core	dip:0002(small scale)		-
